aX,aY,aZ,gX,gY,gZ
-0.304,0.109,2.107,214.111,17.700,33.386
"
-0.304",0.087,2.116,232.300,25.269,38.757
"
-0.283",0.069,2.090,245.605,35.400,40.710
"
-0.252",0.087,2.091,252.502,48.096,39.612
"
-0.222",0.115,2.052,261.292,59.448,39.368
"
-0.197",0.109,1.964,276.550,67.932,40.466
"
-0.191",0.088,1.818,293.579,79.346,41.077
"
-0.149",0.054,1.629,309.875,94.116,43.152
"
-0.045",-0.020,1.438,323.486,103.394,46.448
"
-0.008",-0.078,1.266,329.285,107.178,45.471
"
0.011",-0.125,1.078,331.787,109.802,43.884
"
0.041",-0.171,0.906,333.008,114.746,43.396
"
0.058",-0.192,0.731,332.397,124.146,43.640
"
0.114",-0.235,0.525,330.750,134.888,44.678
"
0.149",-0.291,0.360,323.364,146.912,42.847
"
0.147",-0.332,0.269,308.350,158.630,38.208
"
0.082",-0.270,0.195,293.518,172.363,35.583
"
0.063",-0.182,0.095,287.598,187.866,38.025
"
0.115",-0.123,0.000,289.185,203.674,42.847
"
0.132",-0.071,-0.134,294.312,214.417,45.532
"
0.139",-0.047,-0.244,300.842,215.942,49.622
"
0.115",-0.055,-0.360,304.871,210.388,53.833
"
0.051",-0.067,-0.509,304.138,203.186,55.542
"
-0.000",-0.088,-0.645,297.546,203.247,56.580
"
-0.041",-0.133,-0.737,284.912,207.764,57.068
"
-0.063",-0.172,-0.786,266.113,212.219,56.641
"
-0.075",-0.187,-0.830,244.141,215.515,54.626
"
-0.097",-0.202,-0.868,221.863,215.332,51.453
"
-0.128",-0.178,-0.890,201.172,215.393,48.889
"
-0.098",-0.107,-0.915,185.669,216.370,47.485
"
-0.066",-0.030,-0.985,177.063,213.867,45.227
"
-0.023",0.050,-1.105,174.683,204.651,41.687
"
0.033",0.120,-1.272,177.429,189.575,37.903
"
0.052",0.147,-1.528,182.251,168.091,32.471
"
0.029",0.140,-1.824,183.533,140.198,25.513
"
0.035",0.156,-2.101,177.551,109.497,19.226
"
-0.004",0.158,-2.388,166.992,76.477,11.536
