aX,aY,aZ,gX,gY,gZ
-1.597,0.344,-1.099,40.405,-163.452,65.796
"
-1.856",0.338,-1.137,43.518,-181.396,90.393
"
-2.094",0.352,-1.194,43.945,-190.430,121.887
"
-2.302",0.407,-1.245,38.574,-184.570,160.156
"
-2.358",0.462,-1.276,23.376,-154.053,200.745
"
-2.273",0.547,-1.313,-0.122,-106.262,239.197
"
-2.112",0.687,-1.343,-26.428,-54.871,271.912
"
-1.898",0.834,-1.351,-50.293,-13.123,298.950
"
-1.669",0.954,-1.335,-65.491,9.399,322.021
"
-1.452",1.045,-1.273,-70.435,9.766,341.675
"
-1.289",1.119,-1.181,-68.115,-8.301,357.910
"
-1.162",1.159,-1.074,-59.143,-35.400,370.544
"
-1.092",1.128,-1.016,-44.922,-64.758,379.883
"
-1.093",0.959,-1.028,-27.954,-94.360,386.719
"
-1.199",0.587,-1.125,-13.794,-124.146,390.259
"
-1.191",0.770,-0.963,-11.353,-159.119,389.343
"
-1.071",1.264,-0.593,-44.617,-215.820,406.006
"
-1.028",1.269,-0.388,-52.307,-278.198,426.758
"
-0.967",1.165,-0.354,-17.639,-293.640,430.176
"
-0.959",1.090,-0.393,4.211,-283.264,436.829
"
-0.970",1.176,-0.396,3.235,-269.714,453.125
"
-0.940",1.396,-0.335,-6.287,-252.991,468.689
"
-0.803",1.654,-0.318,-20.569,-235.596,480.042
"
-0.648",1.878,-0.169,-43.030,-216.492,480.713
"
-0.551",2.235,-0.100,-72.937,-204.712,469.421
"
-0.490",2.587,0.102,-97.107,-191.833,464.111
"
-0.343",3.000,0.336,-109.802,-198.242,465.881
"
-0.176",3.355,0.495,-106.262,-231.689,471.558
"
-0.005",3.532,0.594,-83.496,-263.428,478.394
"
0.217",3.459,0.687,-49.377,-271.545,475.342
"
0.598",3.316,0.700,-28.381,-261.414,451.233
"
1.261",3.023,0.780,-34.119,-249.268,414.307
"
2.495",2.522,1.237,-59.937,-218.689,377.563
"
4.000",2.976,2.215,-95.825,-116.943,353.699
"
4.000",3.596,2.368,-134.644,104.919,287.048
"
3.962",2.620,1.365,-128.540,305.054,33.264
"
2.544",1.687,0.357,-63.782,295.166,-202.454
"
1.485",1.338,-0.113,13.794,152.954,-229.919
"
0.460",1.589,-0.524,67.261,24.414,-170.410
"
0.218",1.282,-0.952,125.183,10.010,-123.108
"
0.587",0.629,-1.375,155.518,70.862,-102.722
"
1.023",0.369,-1.755,117.188,98.083,-101.440
"
1.322",0.541,-1.711,38.818,87.952,-113.281
"
1.575",0.906,-1.324,-28.931,80.933,-141.113
"
1.720",1.210,-1.023,-63.232,71.777,-179.016
"
1.687",1.378,-0.804,-67.383,43.457,-215.088
"
1.546",1.491,-0.708,-50.659,12.085,-247.253
"
1.288",1.587,-0.734,-28.992,-14.893,-274.719
"
0.944",1.600,-0.774,-17.517,-23.071,-294.373
"
0.662",1.551,-0.710,-23.315,2.075,-309.387
"
0.523",1.548,-0.602,-43.457,59.021,-322.510
"
0.548",1.598,-0.536,-62.073,124.939,-332.153
"
0.628",1.606,-0.551,-65.918,172.180,-338.684
"
0.723",1.559,-0.627,-57.251,188.782,-341.370
"
0.812",1.510,-0.705,-45.715,179.138,-341.431
"
0.845",1.518,-0.737,-36.560,155.823,-343.079
"
0.780",1.531,-0.741,-27.649,127.014,-348.267
"
0.581",1.460,-0.701,-18.921,104.980,-354.736
