aX,aY,aZ,gX,gY,gZ
1.352,-1.066,0.139,12.756,50.903,12.817
"
1.326",-1.114,0.158,15.869,42.542,10.742
"
1.280",-1.144,0.176,20.264,37.170,8.240
"
1.228",-1.178,0.155,24.536,39.673,4.578
"
1.231",-1.257,0.107,26.672,50.354,1.282
"
1.276",-1.328,0.051,25.940,63.416,-0.793
"
1.295",-1.363,-0.005,19.531,74.097,-3.723
"
1.281",-1.374,-0.030,10.986,78.247,-7.263
"
1.222",-1.351,-0.028,3.479,76.172,-7.629
"
1.137",-1.278,-0.022,-2.869,69.031,-4.089
"
1.045",-1.195,-0.016,-7.812,56.580,2.197
"
0.920",-1.112,-0.012,-11.780,43.579,11.047
"
0.759",-1.000,0.004,-16.541,36.377,20.691
"
0.583",-0.851,0.007,-21.667,37.292,32.593
"
0.437",-0.679,-0.004,-24.780,43.945,50.415
"
0.357",-0.473,-0.015,-25.635,49.805,75.012
"
0.313",-0.219,-0.013,-21.912,46.692,103.760
"
0.310",0.100,0.009,-11.292,31.921,132.568
"
0.320",0.427,0.006,5.981,3.723,161.072
"
0.323",0.656,-0.041,29.480,-36.133,185.547
"
0.312",0.805,-0.138,47.119,-71.838,196.838
"
0.270",0.909,-0.237,46.509,-87.769,186.707
"
0.160",1.045,-0.333,25.696,-83.374,158.691
"
0.033",1.252,-0.406,-9.216,-59.631,127.930
"
-0.022",1.493,-0.430,-51.941,-20.081,106.323
"
0.027",1.747,-0.407,-93.018,24.536,97.900
"
0.186",1.968,-0.366,-122.375,65.613,97.961
"
0.400",2.120,-0.303,-137.146,95.154,100.220
"
0.616",2.163,-0.224,-138.245,103.821,99.121
"
0.787",2.085,-0.134,-126.343,85.693,95.215
"
0.881",1.960,-0.030,-109.558,43.884,88.928
"
0.914",1.835,0.107,-90.759,-12.268,82.703
"
0.903",1.711,0.242,-69.824,-66.345,78.430
"
0.902",1.575,0.350,-46.021,-102.112,73.547
"
0.916",1.444,0.446,-24.048,-117.920,66.406
"
0.894",1.366,0.499,-3.174,-114.319,55.664
"
0.925",1.279,0.488,20.020,-93.262,45.349
"
0.937",1.222,0.334,43.335,-65.063,35.400
"
0.957",1.184,0.116,61.829,-37.170,23.865
"
0.954",1.158,-0.138,73.059,-7.507,10.620
"
0.926",1.112,-0.377,79.041,15.137,-3.662
"
0.870",1.032,-0.577,79.224,27.893,-16.174
"
0.821",0.965,-0.724,72.998,33.997,-24.658
"
0.800",0.944,-0.776,61.829,35.950,-31.494
"
0.775",0.953,-0.751,47.729,36.926,-38.879
"
0.742",0.979,-0.664,33.508,36.011,-47.058
"
0.718",1.046,-0.557,20.569,34.363,-56.396
"
0.674",1.137,-0.461,13.855,30.457,-65.308
"
0.620",1.181,-0.396,17.151,24.475,-70.435
"
0.590",1.218,-0.366,27.405,19.226,-70.923
"
0.568",1.226,-0.385,39.612,12.573,-70.190
"
0.555",1.200,-0.438,50.415,5.493,-67.566
"
0.543",1.171,-0.496,56.885,-2.502,-63.416
"
0.547",1.156,-0.513,58.105,-10.193,-59.692
"
0.544",1.129,-0.488,57.983,-20.081,-59.204
"
0.523",1.097,-0.440,57.434,-32.288,-60.669
"
0.488",1.041,-0.363,54.626,-46.265,-61.768
"
0.464",0.996,-0.253,49.011,-57.922,-60.425
"
0.449",0.957,-0.134,43.701,-63.599,-57.861
"
0.439",0.926,-0.019,40.771,-62.256,-55.664
"
0.447",0.886,0.108,39.978,-54.810,-53.833
"
0.471",0.809,0.233,40.894,-42.786,-52.612
"
0.502",0.733,0.291,44.739,-27.710,-51.880
"
0.553",0.659,0.281,49.988,-10.315,-52.185
"
0.578",0.556,0.264,52.307,2.930,-53.223
"
0.617",0.441,0.243,51.758,13.367,-51.636
"
0.706",0.369,0.189,49.866,21.423,-46.326
"
0.866",0.360,0.130,46.875,21.606,-41.260
"
0.984",0.364,0.107,42.175,7.874,-39.673
"
1.001",0.317,0.135,36.255,-17.212,-41.077
"
0.947",0.238,0.196,29.114,-42.358,-43.091
"
0.866",0.121,0.258,22.827,-54.871,-44.983
"
0.820",-0.021,0.327,18.616,-50.659,-45.654
"
0.798",-0.115,0.316,15.869,-36.621,-43.091
"
0.844",-0.198,0.270,13.550,-21.606,-38.269
"
0.893",-0.282,0.201,8.606,-10.925,-34.729
"
0.921",-0.379,0.142,0.671,-4.028,-33.875
"
0.951",-0.432,0.114,-10.620,1.709,-34.424
"
1.028",-0.428,0.109,-22.644,2.991,-34.119
"
1.094",-0.438,0.137,-29.358,-5.981,-32.166
"
1.105",-0.470,0.185,-29.297,-21.606,-30.518
"
1.072",-0.505,0.235,-26.062,-36.133,-29.114
"
1.019",-0.557,0.277,-21.057,-45.715,-27.283
"
0.964",-0.605,0.291,-16.968,-48.279,-24.902
"
0.952",-0.618,0.295,-15.259,-47.424,-21.118
"
0.961",-0.642,0.297,-16.235,-49.500,-15.930
"
0.965",-0.694,0.309,-19.409,-55.420,-10.742
"
0.940",-0.736,0.328,-24.353,-59.814,-7.263
"
0.913",-0.772,0.334,-29.907,-58.167,-5.127
"
0.947",-0.791,0.323,-35.461,-45.837,-3.906
"
1.003",-0.747,0.289,-40.222,-26.367,-4.089
"
1.111",-0.683,0.240,-42.358,-4.822,-4.944
"
1.220",-0.625,0.183,-40.649,12.756,-6.409
"
1.279",-0.560,0.121,-34.668,20.935,-8.606
"
1.317",-0.551,0.080,-24.292,17.517,-8.667
"
1.293",-0.547,0.032,-10.803,6.775,-6.470
"
1.248",-0.547,-0.009,3.967,-4.761,-2.747
"
1.210",-0.544,-0.039,17.212,-12.817,1.221
"
1.169",-0.546,-0.075,27.710,-18.250,5.432
"
1.145",-0.536,-0.111,34.485,-18.677,8.789
"
1.139",-0.525,-0.144,35.217,-15.076,9.766
"
1.143",-0.515,-0.166,29.968,-7.812,7.935
"
1.158",-0.492,-0.184,21.240,3.113,3.235
"
1.172",-0.463,-0.206,11.963,15.320,-1.770
"
1.167",-0.453,-0.218,4.028,24.475,-6.470
"
1.159",-0.437,-0.217,-2.197,28.320,-10.071
